ST
0
1.1
0.064705882
1.164705882
0.129411765
1.229411765
0.194117647
1.294117647
0.258823529
1.358823529
0.323529412
1.423529412
0.388235294
1.488235294
0.452941176
1.552941176
0.517647059
1.617647059
0.582352941
1.682352941
0.647058824
1.747058824
0.711764706
1.811764706
0.776470588
1.876470588
0.841176471
1.941176471
0.905882353
2.005882353
0.970588235
2.070588235
1.035294118
2.135294118
